terminal_id,borough,zone
7039.03,Queens County,Steinway
6642.08,Queens County,East Elmhurst
7524.09,Manhattan,Manhattan Community Board 7
7727.08,Manhattan,Manhattan Community Board 9
6750.16,Queens County,NONE
5002.09,Queens,Ridgewood
6676.02,Manhattan,Clinton
7577.27,Manhattan,Bloomingdale
6644.08,Manhattan,Manhattan Community Board 4
8048.04,The Bronx,Morrisania
6441.01,Manhattan,Garment District
5545.01,Manhattan,Alphabet City
5561.06,Manhattan,Manhattan Community Board 2
4010.01,Brooklyn,Prospect Heights
5746.14,Manhattan,Manhattan Community Board 3
5779.11,Manhattan,Alphabet City
5500.02,Manhattan,Manhattan Community Board 2
7959.18,Manhattan,Manhattan Community Board 9
2733.03,Brooklyn,Bay Ridge
8021.11,The Bronx,Bronx County
6215.04,Manhattan,Manhattan Community Board 5
7685.14,Manhattan,Manhattan Community Board 11
4199.13,Brooklyn,Prospect Heights
8711.02,The Bronx,Kingsbridge Heights
7538.18,Manhattan,Manhattan Community Board 7
4936.21,Brooklyn,Dumbo
4632.1,Brooklyn,NONE
6795.01,Manhattan,Clinton
7774.02,Manhattan,Manhattan Community Board 10
5382.06,Manhattan,Manhattan Community Board 2
5955.12,Manhattan,Manhattan Community Board 2
6398.06,Manhattan,Manhattan Community Board 5
4371.01,Brooklyn,Cobble Hill
3728.05,Brooklyn,Crown Heights
5515.08,Manhattan,Alphabet City
4614.04,Brooklyn,Columbia Street Waterfront District
4146.02,Brooklyn,NONE
6417.11,Queens County,Woodside
5860.02,Brooklyn,NONE
4446.03,Brooklyn,NONE
6319.01,Queens County,NONE
6905.02,Queens County,East Elmhurst
4895.03,Brooklyn,Dumbo
6585.11,Queens County,East Elmhurst
4458.06,Brooklyn,Bedford-Stuyvesant
5838.09,Manhattan,University Village
3831.03,Brooklyn,Crown Heights
5626.07,Manhattan,Manhattan Community Board 3
3579.04,Brooklyn,NONE
5785.05,Brooklyn,NONE
5914.03,Manhattan,Manhattan Community Board 2
5235.1,Brooklyn,NONE
2932.03,Brooklyn,Bay Ridge
7788.13,The Bronx,Bronx County
5090.06,Brooklyn,NONE
2832.03,Brooklyn,Bay Ridge
3294.03,Brooklyn,NONE
4054.02,Brooklyn,Red Hook
6774.13,Queens County,NONE
6561.01,Queens County,Jackson Heights
7009.02,Queens County,Steinway
3731.11,Brooklyn,NONE
5117.05,Brooklyn,NONE
5137.1,Manhattan,Whitehall
8453.14,Manhattan,Manhattan Community Board 12
4494.04,Brooklyn,Clinton Hill
5388.01,Brooklyn,NONE
8399.06,Manhattan,Hudson Heights
5458.02,Brooklyn,NONE
7777.02,The Bronx,Mott Haven
5489.06,Brooklyn,NONE
5905.14,Manhattan,Manhattan Community Board 2
6889.12,Manhattan,Lenox Hill
4914.03,Brooklyn,NONE
4476.03,Brooklyn,Bedford-Stuyvesant
5332.1,Brooklyn,NONE
